RaceID,Name,Time,Gender,Age_Lower,Age_Upper,Shoes
BS18,Antonio Porcu,10432,M,45,49,HOKA ONE ONE clayton 2 4 paio
BS18,Mark Puleo,10433,M,20,24,
BS18,Patrick Murray,10401,M,45,49,
BS18,Zachary Newman,10434,M,18,39,
BS18,Ryan Kenny,10439,M,35,39,adidas Adizero Adios Boost 3 (Gray)
BS18,James Caputo,10439,M,35,39,Mizuno Wave Catalyst 2 (Red / Black)
BS18,Hector Hernandez,10435,M,35,39,
BS18,James Defilippi,10437,M,40,44,Brooks Hyperion
BS18,Riley Quinn,10442,M,25,34,
BS18,Bryan Trinque,10442,M,35,39,Mizuno Hitogami
BS18,Brad Holzwart,10439,M,35,39,
BS18,Benjamin Collier,10441,M,35,39,Nike Free RN Distance 2
BS18,Samuel Frechette,10428,M,18,39,
BS18,Luke Levine,10469,M,25,34,
BS18,Rose Penfold,10446,F,25,34,
BS18,Michael Macdonald,10410,M,25,34,New Balance Fuel Cell
BS18,Jorge Luiz Santos,10449,M,35,39,
BS18,Derek Lee,10448,M,25,34,
BS18,Paulo Amaral,10438,M,35,39,
BS18,Sam Schneider,10450,M,25,34,Brooks Pureflow
BS18,Victor Picault,10452,M,25,34,Nike Nike Air Zoom Pegasus 33 - Black
BS18,James Snyder,10392,M,25,34,Vibram V-Run
BS18,Daniel Sillivant,10458,M,18,39,New Balance MZANTEV2
BS18,Nelson Osacky,10458,M,18,39,Nike Structure 20
BS18,Matthew Hunsucker,10458,M,35,39,
BS18,Matthew Orlando,10427,M,25,34,Reebok Floatrides
BS18,Brian Le-Cerf,10457,M,18,39,
BS18,Michael Sprot,10460,M,35,39,
BS18,Joshua Wilson,10463,M,25,34,
BS18,Chris Van Es,10407,M,25,34,Brooks Pure Cadence
BS18,Andrew Massingale,10461,M,18,39,
BS18,Alexander Rekitsanov,10464,M,25,34,ASICS TRI NOOSA 10- (Orange)
BS18,Matt Triick,10461,M,35,39,
BS18,Tim Meigs,10468,M,50,54,adidas adios boost 3
BS18,Scott Garrison,10468,M,25,34,
BS18,Steven Kent,10471,M,50,54,Brooks Launch
BS18,Jason Verna,10471,M,18,39,
BS18,Luke Merkel,10451,M,35,39,
BS18,Sean Nagorny,10472,M,35,39,adidas Boston #2
BS18,Brandon Talisesky,10469,M,25,34,Nike Pegasus 33
BS18,Scott Sneddon,10475,M,55,59,Mizuno Wave Ronin 4
BS18,Heidi Caldwell,10471,F,25,34,Brooks Launch
BS18,Philip Luck,10476,M,25,34,adidas ADIZERO BOSTON 6
BS18,Alan Talhelm,10476,M,35,39,
BS18,Adam Eskuri,10471,M,25,34,
BS18,Aaron Schwartzbard,10474,M,40,44,Mizuno Hitogami 3
BS18,Steven Regan,10430,M,18,39,adidas adios
BS18,Alan Groudle,10479,M,35,39,New Balance 1400 V5
BS18,Nick Goffi,10477,M,25,34,Nike Zoom Fly
BS18,Henrik Engström,10480,M,35,39,
BS18,Sonny Folcheri,10479,M,25,34,
BS18,Matt Preslar,10471,M,45,49,
BS18,Kenneth Pascale,10482,M,25,34,
BS18,Siobhan O'Connor,10483,F,25,34,Nike Racers
BS18,Katsuhiro Togami,10484,M,40,44,adidas Boston boost_6
BS18,Simo Leone,10476,M,25,34,Saucony Triumph Iso 4
BS18,Benjamin Joyce,10486,M,18,39,adidas Tempo 9
BS18,Arek Robinson,10484,M,25,34,Altra Instinct 3.5
BS18,Caleb Vanderbaan,10486,M,25,34,
BS18,Thomas Oktavec,10449,M,40,44,adidas Adizero Sub2
BS18,Ross Millar,10484,M,40,44,
BS18,Brandyn Naro,10488,M,25,34,New Balance 1400
BS18,Joshua Matte,10482,M,25,34,
BS18,Guillermo Baltodano Lapeira,10482,M,35,39,Nike VaporFly 4%
BS18,Alex Samarin,10489,M,25,34,Nike Pegasus 33 (2nd pair)
BS18,Jose Gellona,10483,M,35,39,
BS18,Jacob Deese,10498,M,25,34,Nike Zoom Fly
BS18,Andrew Jakubowitch,10505,M,35,39,
BS18,Olivier Girault,10499,M,18,39,
BS18,Nelson Auner,10476,M,18,39,Nike Nike Free 5.0 '14
BS18,Nicholas Kizzire,10445,M,25,34,
BS18,Adam Hallett,10502,M,35,39,Nike VaporFly 4%
BS18,Melissa Penwell,10501,F,25,34,ASICS Gel DS Racer
BS18,Darin Nee,10510,M,35,39,
BS18,Amanda Lopiccolo,10506,F,18,39,Reebok Harmony Racer
BS18,Eric Gruenbacher,10506,M,25,34,
BS18,Eric Gruenbacher,10506,M,25,34,
